t (s)	q (C)
2.9599999999999908e-18	6.07611452303e-22
2.9699999999999907e-18	6.07177189885e-22
2.9799999999999907e-18	6.06746655578e-22
2.9899999999999906e-18	6.06319821151e-22
2.9999999999999906e-18	6.05896658489e-22
3.0099999999999905e-18	6.054771396e-22
3.0199999999999905e-18	6.05061236615e-22
3.0299999999999904e-18	6.04648921787e-22
3.0399999999999904e-18	6.042401675e-22
3.0499999999999903e-18	6.03834946264e-22
3.0599999999999903e-18	6.03433230722e-22
3.0699999999999902e-18	6.03034993647e-22
3.07999999999999e-18	6.02640207949e-22
3.08999999999999e-18	6.02248846672e-22
3.09999999999999e-18	6.01860882998e-22
3.10999999999999e-18	6.01476290248e-22
3.11999999999999e-18	6.01095041882e-22
3.12999999999999e-18	6.00717111502e-22
3.13999999999999e-18	6.00342472853e-22
3.1499999999999898e-18	5.99971099823e-22
3.1599999999999897e-18	5.99602966443e-22
3.1699999999999897e-18	5.99238046892e-22
3.1799999999999896e-18	5.98876315495e-22
3.1899999999999896e-18	5.98517746723e-22
3.1999999999999895e-18	5.98162315196e-22
3.2099999999999895e-18	5.97809995683e-22
3.2199999999999894e-18	5.974607631e-22
3.2299999999999894e-18	5.97114592516e-22
3.2399999999999893e-18	5.9677145915e-22
3.2499999999999893e-18	5.9643133837e-22
3.2599999999999892e-18	5.96094205697e-22
3.269999999999989e-18	5.95760036804e-22
3.279999999999989e-18	5.95428807515e-22
3.289999999999989e-18	5.95100493807e-22
3.299999999999989e-18	5.9477507181e-22
3.309999999999989e-18	5.94452517807e-22
3.319999999999989e-18	5.94132808234e-22
3.329999999999989e-18	5.93815919678e-22
3.3399999999999888e-18	5.93501828883e-22
3.3499999999999887e-18	5.93190512742e-22
3.3599999999999887e-18	5.92881948306e-22
3.3699999999999886e-18	5.92576112776e-22
3.3799999999999886e-18	5.92272983507e-22
3.3899999999999885e-18	5.91972538007e-22
3.3999999999999885e-18	5.91674753938e-22
3.4099999999999884e-18	5.91379609113e-22
3.4199999999999884e-18	5.91087081499e-22
3.4299999999999883e-18	5.90797149216e-22
3.4399999999999882e-18	5.90509790534e-22
3.449999999999988e-18	5.90224983878e-22
3.459999999999988e-18	5.89942707821e-22
3.4699999999999885e-18	5.8966294109e-22
3.4799999999999884e-18	5.89385662562e-22
3.489999999999988e-18	5.89110851266e-22
3.499999999999988e-18	5.8883848638e-22
3.509999999999988e-18	5.88568547231e-22
3.519999999999988e-18	5.88301013297e-22
3.529999999999988e-18	5.88035864204e-22
3.539999999999988e-18	5.87773079728e-22
3.549999999999988e-18	5.87512639791e-22
3.559999999999988e-18	5.87254524464e-22
3.569999999999988e-18	5.86998713966e-22
3.579999999999988e-18	5.86745188659e-22
3.589999999999988e-18	5.86493929054e-22
3.599999999999988e-18	5.86244915807e-22
3.609999999999988e-18	5.85998129718e-22
3.619999999999988e-18	5.85753551732e-22
3.629999999999988e-18	5.85511162937e-22
3.6399999999999876e-18	5.85270944566e-22
3.6499999999999875e-18	5.85032877992e-22
3.6599999999999875e-18	5.8479694473e-22
3.6699999999999874e-18	5.84563126438e-22
3.679999999999987e-18	5.84331404914e-22
3.689999999999987e-18	5.84101762094e-22
3.699999999999987e-18	5.83874180056e-22
3.709999999999987e-18	5.83648641015e-22
3.719999999999987e-18	5.83425127324e-22
3.729999999999987e-18	5.83203621473e-22
3.739999999999987e-18	5.82984106089e-22
3.749999999999987e-18	5.82766563935e-22
3.759999999999987e-18	5.82550977908e-22
3.769999999999987e-18	5.82337331039e-22
3.779999999999987e-18	5.82125606496e-22
3.789999999999987e-18	5.81915787575e-22
3.799999999999987e-18	5.81707857709e-22
3.809999999999987e-18	5.81501800458e-22
3.8199999999999866e-18	5.81297599515e-22
3.8299999999999866e-18	5.81095238704e-22
3.8399999999999865e-18	5.80894701975e-22
3.8499999999999864e-18	5.8069597341e-22
3.8599999999999864e-18	5.80499037215e-22
3.869999999999986e-18	5.80303877727e-22
3.879999999999986e-18	5.80110479406e-22
3.889999999999986e-18	5.79918826838e-22
3.899999999999986e-18	5.79728904734e-22
3.909999999999986e-18	5.7954069793e-22
3.919999999999986e-18	5.79354191382e-22
3.929999999999986e-18	5.79169370172e-22
3.939999999999986e-18	5.78986219502e-22
3.949999999999986e-18	5.78804724693e-22
3.959999999999986e-18	5.78624871189e-22
3.969999999999986e-18	5.7844664455e-22
3.979999999999986e-18	5.78270030459e-22
3.989999999999986e-18	5.78095014711e-22
3.999999999999986e-18	5.77921583223e-22
4.0099999999999856e-18	5.77749722024e-22
4.0199999999999855e-18	5.77579417262e-22
4.0299999999999855e-18	5.77410655197e-22
4.0399999999999854e-18	5.77243422204e-22
4.049999999999985e-18	5.7707770477e-22
4.059999999999985e-18	5.76913489496e-22
4.069999999999985e-18	5.76750763092e-22
4.079999999999985e-18	5.76589512382e-22
4.089999999999985e-18	5.76429724296e-22
4.099999999999985e-18	5.76271385876e-22
4.109999999999985e-18	5.76114484272e-22
4.119999999999985e-18	5.75959006741e-22
4.129999999999985e-18	5.75804940648e-22
4.139999999999985e-18	5.75652273462e-22
4.149999999999985e-18	5.75500992759e-22
4.159999999999985e-18	5.7535108622e-22
4.169999999999985e-18	5.75202541629e-22
4.179999999999985e-18	5.75055346872e-22
4.189999999999985e-18	5.74909489941e-22
